E_type,Voltage (V),Specific surface area (m2/g),IDIG_ratio,N-doped (at%),O-doped (at%),Current density (A/g),Capacitance (F/g)
3,0.9,1733,1.38,1.64,18.98,50,183
2,1,1733,1.38,1.64,18.98,1,72
2,1,1733,1.38,1.64,18.98,10,44.3
2,1,1733,1.38,1.64,18.98,20,42
2,3,1733,1.38,1.64,18.98,1,51.5
2,3,1733,1.38,1.64,18.98,10,33.8
3,1,2502,0.94,6.3,9.2,0.1,341
3,1,1349,0.91,9,8.5,0.1,190
3,1,2360,0.88,8.5,8,0.1,260
3,1,2502,0.94,6.3,9.2,1,328
3,1,1349,0.91,9,8.5,1,165
3,1,2360,0.88,8.5,8,1,249
3,1,2502,0.94,6.3,9.2,5,298
3,1,1349,0.91,9,8.5,5,146
3,1,2360,0.88,8.5,8,5,234
3,1,2502,0.94,6.3,9.2,10,280
3,1,1349,0.91,9,8.5,10,137
3,1,2360,0.88,8.5,8,10,220
3,1,2502,0.94,6.3,9.2,20,267
3,1,1349,0.91,9,8.5,20,133
3,1,2360,0.88,8.5,8,20,209
3,1,2502,0.94,6.3,9.2,30,260
3,1,1349,0.91,9,8.5,30,131
3,1,2360,0.88,8.5,8,30,193
3,1,2502,0.94,6.3,9.2,40,252
3,1,1349,0.91,9,8.5,40,128
3,1,2360,0.88,8.5,8,40,178
3,1,2502,0.94,6.3,9.2,50,244
3,1,1349,0.91,9,8.5,50,125
3,1,2360,0.88,8.5,8,50,163
2,1,2502,0.94,6.3,9.2,1,314
2,1,1349,0.91,9,8.5,1,164
2,1,2360,0.88,8.5,8,1,184
2,1,2502,0.94,6.3,9.2,5,279
2,1,1349,0.91,9,8.5,5,156
2,1,2360,0.88,8.5,8,5,176
2,1,2502,0.94,6.3,9.2,10,261
2,1,1349,0.91,9,8.5,10,148
2,1,2360,0.88,8.5,8,10,159
2,1,2502,0.94,6.3,9.2,20,245
2,1,1349,0.91,9,8.5,20,142
2,1,2360,0.88,8.5,8,20,133
2,1,2502,0.94,6.3,9.2,30,220
2,1,1349,0.91,9,8.5,30,128
2,1,2360,0.88,8.5,8,30,108
2,1,2502,0.94,6.3,9.2,50,188
2,1,1349,0.91,9,8.5,50,107
2,1,2360,0.88,8.5,8,50,87
3,1.2,543.68,0.89,1.2,8.5,0.5,221
3,1.2,7.91,0.68,0.6,1.9,0.5,2.1
2,1,543.68,0.89,1.2,8.5,2,204
2,1,7.91,0.68,0.6,1.9,2,2.6
2,1,543.68,0.89,1.2,8.5,5,198
2,1,7.91,0.68,0.6,1.9,5,3.1
2,1,543.68,0.89,1.2,8.5,10,192
2,1,7.91,0.68,0.6,1.9,10,2.4
2,1,543.68,0.89,1.2,8.5,15,185
2,1,7.91,0.68,0.6,1.9,15,1.6
2,1,543.68,0.89,1.2,8.5,20,180
2,1,7.91,0.68,0.6,1.9,20,3
2,1,543.68,0.89,1.2,8.5,25,176
2,1,7.91,0.68,0.6,1.9,25,2.3
2,1,543.68,0.89,1.2,8.5,30,172
2,1,7.91,0.68,0.6,1.9,30,2.8
2,1,543.68,0.89,1.2,8.5,35,170
2,1,7.91,0.68,0.6,1.9,35,2.9
2,1,543.68,0.89,1.2,8.5,40,168
2,1,7.91,0.68,0.6,1.9,40,2.6
3,1,477,1.01,0,0,1,80
3,1,2753,1.12,0,0,1,307
3,0.9,312,0.78,1.2,5.6,0.1,125
3,0.9,1588,0.84,5.3,9.3,0.1,240.4
3,0.9,2665,0.81,1.1,10.9,0.1,279.1
3,0.9,2856,0.83,2.2,11.1,0.1,386.2
3,0.9,3253,0.86,0.9,7.1,0.1,365.9
3,0.9,312,0.78,1.2,5.6,1,92
3,0.9,1588,0.84,5.3,9.3,1,198
3,0.9,2665,0.81,1.1,10.9,1,222
3,0.9,2856,0.83,2.2,11.1,1,294
3,0.9,3253,0.86,0.9,7.1,1,290
3,0.9,312,0.78,1.2,5.6,2,84
3,0.9,1588,0.84,5.3,9.3,2,182
3,0.9,2665,0.81,1.1,10.9,2,212
3,0.9,2856,0.83,2.2,11.1,2,271
3,0.9,3253,0.86,0.9,7.1,2,280
3,0.9,312,0.78,1.2,5.6,3,76
3,0.9,1588,0.84,5.3,9.3,3,169
3,0.9,2665,0.81,1.1,10.9,3,203
3,0.9,2856,0.83,2.2,11.1,3,253
3,0.9,3253,0.86,0.9,7.1,3,266
3,0.9,312,0.78,1.2,5.6,4,69
3,0.9,1588,0.84,5.3,9.3,4,156
3,0.9,2665,0.81,1.1,10.9,4,196
3,0.9,2856,0.83,2.2,11.1,4,239
3,0.9,3253,0.86,0.9,7.1,4,260
3,0.9,312,0.78,1.2,5.6,5,60
3,0.9,1588,0.84,5.3,9.3,5,142
3,0.9,2665,0.81,1.1,10.9,5,191
3,0.9,2856,0.83,2.2,11.1,5,229
3,0.9,3253,0.86,0.9,7.1,5,253
3,0.9,312,0.78,1.2,5.6,6,55
3,0.9,1588,0.84,5.3,9.3,6,134
3,0.9,2665,0.81,1.1,10.9,6,183
3,0.9,2856,0.83,2.2,11.1,6,213
3,0.9,3253,0.86,0.9,7.1,6,244
3,0.9,312,0.78,1.2,5.6,7,49
3,0.9,1588,0.84,5.3,9.3,7,123
3,0.9,2665,0.81,1.1,10.9,7,181
3,0.9,2856,0.83,2.2,11.1,7,203
3,0.9,3253,0.86,0.9,7.1,7,236
3,0.9,312,0.78,1.2,5.6,8,47
3,0.9,1588,0.84,5.3,9.3,8,115
3,0.9,2665,0.81,1.1,10.9,8,171
3,0.9,2856,0.83,2.2,11.1,8,193
3,0.9,3253,0.86,0.9,7.1,8,227
3,0.9,312,0.78,1.2,5.6,9,44
3,0.9,1588,0.84,5.3,9.3,9,106
3,0.9,2665,0.81,1.1,10.9,9,166
3,0.9,2856,0.83,2.2,11.1,9,183
3,0.9,3253,0.86,0.9,7.1,9,224
3,0.9,312,0.78,1.2,5.6,10,39
3,0.9,1588,0.84,5.3,9.3,10,100
3,0.9,2665,0.81,1.1,10.9,10,161
3,0.9,2856,0.83,2.2,11.1,10,173
3,0.9,3253,0.86,0.9,7.1,10,218
2,1,342,1.22,0.54,1.8,0.1,10.6
2,1,342,1.22,0.54,1.8,0.1,22.2
2,1,341,1.03,1.02,2.85,0.1,29.6
2,1,341,1.03,1.02,2.85,0.1,29.7
2,1,343,1.38,0,1.54,0.1,2.59
2,1,343,1.38,0,1.54,0.1,7.86
2,1,301,1.25,0,3.67,0.1,19.9
2,1,301,1.25,0,3.67,0.1,34.6
3,1,406,0.926,0,0,0.2,198
3,1,455,0.98,0,0,0.2,127.6
3,1,515,0.926,0,0,0.2,144.8
3,1,566,0.926,0,0,0.2,99.2
3,1,640,0.952,0,0,0.2,182
3,1,686,0.934,0,0,0.2,200.72
3,1,783,0.926,0,0,0.2,226.2
3,1,783,0.926,0,0,10,178
3,1,799,0.877,0,0,0.2,135.4
3,1,715,1.47,0,0,0.05,177
3,1,220,1.43,0,0,0.05,99
2,1.3,1642,0.74,0,0,0.2,234
2,1.3,2094,1.11,0,0,0.2,224
2,1.3,2823,0.76,0,0,0.2,316
2,1.3,1642,0.74,0,0,1,188
2,1.3,2094,1.11,0,0,1,167
2,1.3,2823,0.76,0,0,1,218
2,1.3,1642,0.74,0,0,2,178
2,1.3,2094,1.11,0,0,2,148
2,1.3,2823,0.76,0,0,2,195
2,1.3,1642,0.74,0,0,5,164
2,1.3,2094,1.11,0,0,5,139
2,1.3,2823,0.76,0,0,5,186
2,1.3,1642,0.74,0,0,10,139
2,1.3,2094,1.11,0,0,10,124
2,1.3,2823,0.76,0,0,10,184
2,1.3,1642,0.74,0,0,20,124
2,1.3,2094,1.11,0,0,20,92
2,1.3,2823,0.76,0,0,20,182
3,1,124.5,0.81,0,10.1,1,112
3,1,427.3,1.12,0,8.19,1,143
3,1,1218.5,1.73,0,9.25,1,291
3,1,1218.5,1.73,0,9.25,1.5,287
3,1,1218.5,1.73,0,9.25,2,278
3,1,1218.5,1.73,0,9.25,3,265
3,1,1218.5,1.73,0,9.25,5,259
3,1,1218.5,1.73,0,9.25,10,246
3,1,1218.5,1.73,0,9.25,20,220
3,1,1218.5,1.73,0,9.25,30,214
2,3.5,2005.9,1.12,0.1,6.27,1,140
2,3.5,2005.9,1.12,0.1,6.27,2,138
2,3.5,2005.9,1.12,0.1,6.27,3,136
2,3.5,2005.9,1.12,0.1,6.27,5,134
2,3.5,2005.9,1.12,0.1,6.27,10,131
2,3.5,2005.9,1.12,0.1,6.27,20,122
2,3.5,2005.9,1.12,0.1,6.27,30,116
2,3.5,2005.9,1.12,0.1,6.27,40,111
2,3.5,2005.9,1.12,0.1,6.27,50,106
3,1,2005.9,1.12,0.1,6.27,1,319
3,1,379.9,1.15,1.53,1.6,1,227
3,1,2005.9,1.12,0.1,6.27,2,290
3,1,379.9,1.15,1.53,1.6,2,215
3,1,2005.9,1.12,0.1,6.27,3,250
3,1,379.9,1.15,1.53,1.6,3,205
3,1,2005.9,1.12,0.1,6.27,5,225
3,1,379.9,1.15,1.53,1.6,5,146
3,1,2005.9,1.12,0.1,6.27,10,199
3,1,379.9,1.15,1.53,1.6,10,114
3,1,2005.9,1.12,0.1,6.27,20,169
3,1,379.9,1.15,1.53,1.6,20,97
3,1,2005.9,1.12,0.1,6.27,30,154
3,1,379.9,1.15,1.53,1.6,30,89
2,1,2005.9,1.12,0.1,6.27,1,145
2,1,2005.9,1.12,0.1,6.27,2,143
2,1,2005.9,1.12,0.1,6.27,3,141
2,1,2005.9,1.12,0.1,6.27,5,138
2,1,2005.9,1.12,0.1,6.27,10,135
2,1,2005.9,1.12,0.1,6.27,20,131
2,1,2005.9,1.12,0.1,6.27,30,125
3,1,1130,1.18,0,0,0.9,132
3,1,1130,1.18,0,0,2.3,113.7
3,1,1130,1.18,0,0,4.5,104.7
3,1,1130,1.18,0,0,9,90.7
3,1,1130,1.18,0,0,23,74.7
3,1,1130,1.18,0,0,45,54.8
2,0.9,552,2.64,0,0,0.1,140
2,0.9,552,2.64,0,0,0.5,132
2,0.9,552,2.64,0,0,1,123
2,0.9,552,2.64,0,0,5,87.5
2,0.9,1616,4.54,0,0,0.1,220
2,0.9,1616,4.54,0,0,0.5,109
2,0.9,1616,4.54,0,0,1,68
2,0.9,1616,4.54,0,0,5,44
2,0.9,2490,0.55,0,0,0.1,283
2,0.9,2490,0.55,0,0,0.5,264
2,0.9,2490,0.55,0,0,1,184
2,0.9,2490,0.55,0,0,5,172
3,1,521,1,7.3,10.7,0.25,227
3,1,1217.1,1,6.3,15.2,0.25,525
3,1,1405.6,1,4.2,13.6,0.25,409
3,1,521,1,7.3,10.7,0.25,273
3,1,1217.1,1,6.3,15.2,0.25,556
3,1,1405.6,1,4.2,13.6,0.25,420
3,1,521,1,7.3,10.7,0.5,213
3,1,1217.1,1,6.3,15.2,0.5,464
3,1,1405.6,1,4.2,13.6,0.5,381
3,1,521,1,7.3,10.7,0.5,252
3,1,1217.1,1,6.3,15.2,0.5,494
3,1,1405.6,1,4.2,13.6,0.5,387
3,1,521,1,7.3,10.7,1,198
3,1,1217.1,1,6.3,15.2,1,432
3,1,1405.6,1,4.2,13.6,1,339
3,1,521,1,7.3,10.7,1,228
3,1,1217.1,1,6.3,15.2,1,459
3,1,1405.6,1,4.2,13.6,1,355
3,1,521,1,7.3,10.7,2,185
3,1,1217.1,1,6.3,15.2,2,399
3,1,1405.6,1,4.2,13.6,2,301
3,1,521,1,7.3,10.7,2,207
3,1,1217.1,1,6.3,15.2,2,413
3,1,1405.6,1,4.2,13.6,2,323
3,1,521,1,7.3,10.7,4,171
3,1,1217.1,1,6.3,15.2,4,370
3,1,1405.6,1,4.2,13.6,4,375
3,1,521,1,7.3,10.7,4,192
3,1,1217.1,1,6.3,15.2,4,377
3,1,1405.6,1,4.2,13.6,4,297
3,1,521,1,7.3,10.7,6,163
3,1,1217.1,1,6.3,15.2,6,357
3,1,1405.6,1,4.2,13.6,6,260
3,1,521,1,7.3,10.7,6,186
3,1,1217.1,1,6.3,15.2,6,358
3,1,1405.6,1,4.2,13.6,6,285
3,1,521,1,7.3,10.7,8,159
3,1,1217.1,1,6.3,15.2,8,343
3,1,1405.6,1,4.2,13.6,8,252
3,1,521,1,7.3,10.7,8,180
3,1,1217.1,1,6.3,15.2,8,343
3,1,1405.6,1,4.2,13.6,8,282
3,1,521,1,7.3,10.7,10,154
3,1,1217.1,1,6.3,15.2,10,337
3,1,1405.6,1,4.2,13.6,10,251
3,1,521,1,7.3,10.7,10,178
3,1,1217.1,1,6.3,15.2,10,345
3,1,1405.6,1,4.2,13.6,10,273
3,1,521,1,7.3,10.7,15,147
3,1,1217.1,1,6.3,15.2,15,329
3,1,1405.6,1,4.2,13.6,15,243
3,1,521,1,7.3,10.7,15,167
3,1,1217.1,1,6.3,15.2,15,331
3,1,1405.6,1,4.2,13.6,15,260
3,1,521,1,7.3,10.7,20,143
3,1,1217.1,1,6.3,15.2,20,316
3,1,1405.6,1,4.2,13.6,20,230
3,1,521,1,7.3,10.7,20,161
3,1,1217.1,1,6.3,15.2,20,317
3,1,1405.6,1,4.2,13.6,20,251
3,1,521,1,7.3,10.7,25,138
3,1,1217.1,1,6.3,15.2,25,310
3,1,1405.6,1,4.2,13.6,25,224
3,1,521,1,7.3,10.7,25,163
3,1,1217.1,1,6.3,15.2,25,306
3,1,1405.6,1,4.2,13.6,25,243
3,1,521,1,7.3,10.7,30,136
3,1,1217.1,1,6.3,15.2,30,300
3,1,1405.6,1,4.2,13.6,30,221
3,1,521,1,7.3,10.7,30,154
3,1,1217.1,1,6.3,15.2,30,298
3,1,1405.6,1,4.2,13.6,30,237
3,1,1840.3,1,0,4.5,0.25,182
3,1,1840.3,1,0,4.5,0.25,180
3,1,1840.3,1,0,4.5,0.5,161
3,1,1840.3,1,0,4.5,0.5,167
3,1,1840.3,1,0,4.5,1,152
3,1,1840.3,1,0,4.5,1,164
3,1,1840.3,1,0,4.5,2,151
3,1,1840.3,1,0,4.5,2,152
3,1,1840.3,1,0,4.5,4,138
3,1,1840.3,1,0,4.5,4,144
3,1,1840.3,1,0,4.5,6,137
3,1,1840.3,1,0,4.5,6,143
3,1,1840.3,1,0,4.5,8,131
3,1,1840.3,1,0,4.5,8,137
3,1,1840.3,1,0,4.5,10,129
3,1,1840.3,1,0,4.5,10,133
3,1,1840.3,1,0,4.5,15,119
3,1,1840.3,1,0,4.5,15,130
3,1,1840.3,1,0,4.5,20,114
3,1,1840.3,1,0,4.5,20,123
3,1,1840.3,1,0,4.5,25,105
3,1,1840.3,1,0,4.5,25,118
3,1,1840.3,1,0,4.5,30,104
3,1,1840.3,1,0,4.5,30,114
3,0.8,854,1,6.7,4.1,1,131
3,1,613.8,2.38,9,6.3,0.1,216
3,1,4.7,3.91,17.2,3.6,0.1,10
3,1,8.5,2.69,15.8,3.2,0.1,58
3,1,187.5,3.32,9.2,2.4,0.1,75.6
3,1,551.2,3.36,3.1,3.2,0.1,184
3,1,190.38,1,3.2,11.3,1,290
3,1,171.56,0.5,2.9,6.4,1,270
3,1,190.38,1,3.2,11.3,3,250
3,1,171.56,0.5,2.9,6.4,3,258
3,1,190.38,1,3.2,11.3,5,227
3,1,171.56,0.5,2.9,6.4,5,245
3,1,190.38,1,3.2,11.3,10,195
3,1,171.56,0.5,2.9,6.4,10,229
3,1,190.38,1,3.2,11.3,15,178
3,1,171.56,0.5,2.9,6.4,15,215
3,1,190.38,1,3.2,11.3,20,166
3,1,171.56,0.5,2.9,6.4,20,212
3,1,1.4,0.88,8.76,4.24,0.1,189
3,1,1.4,0.88,8.76,4.24,0.1,270
2,2,2250,2.45,0,0,0.48,160.4
2,2,2250,2.45,0,0,1.7,152.5
2,2,2250,2.45,0,0,3.5,150
2,2,2250,2.45,0,0,8.6,149
2,2,2250,2.45,0,0,17,148
2,2,2430,2.26,0,0,0.48,129.4
2,2,2430,2.26,0,0,0.78,127.6
2,2,2430,2.26,0,0,1.56,126.5
2,2,2430,2.26,0,0,4,125.4
2,2,2430,2.26,0,0,7.9,125
2,2,2420,2,0,0,0.48,149.2
2,2,2420,2,0,0,1.1,147.2
2,2,2420,2,0,0,2.3,143
2,2,2420,2,0,0,5.9,139
2,2,2420,2,0,0,11.6,137.5
2,0.9,263,1.03,0,0,0.325,202
2,0.9,263,1.03,0,0,0.65,173.6
2,0.9,263,1.03,0,0,3.25,140.8
2,0.9,263,1.03,0,0,6.5,122.2
2,0.9,263,1.03,0,0,32.5,103
2,0.9,263,1.03,0,0,65,96.7
3,0.8,682,1.62,0,10.75,0.2,100
3,0.8,1383,1.3,0,9,0.2,160
3,0.8,682,1.62,0,10.75,0.5,97
3,0.8,1383,1.3,0,9,0.5,158
3,0.8,682,1.62,0,10.75,1,94
3,0.8,1383,1.3,0,9,1,155
3,0.8,682,1.62,0,10.75,2,90
3,0.8,1383,1.3,0,9,2,152
3,0.8,682,1.62,0,10.75,5,85
3,0.8,1383,1.3,0,9,5,144
3,0.8,682,1.62,0,10.75,10,81
3,0.8,1383,1.3,0,9,10,139
3,0.8,682,1.62,0,10.75,20,77
3,0.8,1383,1.3,0,9,20,135
2,3.4,1230,2.38,0,8,1,125
2,3.4,1230,2.38,0,8,2,104
2,3.4,1230,2.38,0,8,4,83
2,3.4,1230,2.38,0,8,6,70
2,3.4,1230,2.38,0,8,8,60
2,3.4,1263,1.97,0,8,1,125
2,3.4,1263,1.97,0,8,2,104
2,3.4,1263,1.97,0,8,4,87
2,3.4,1263,1.97,0,8,6,76
2,3.4,1263,1.97,0,8,8,71
2,3.4,1263,1.97,0,8,10,64
2,3.4,1886,2,0,8,1,231
2,3.4,1886,2,0,8,2,226
2,3.4,1886,2,0,8,4,218
2,3.4,1886,2,0,8,6,214
2,3.4,1886,2,0,8,8,209
2,3.4,1886,2,0,8,10,203
2,3.4,1089,2.21,0,7,1,135
2,3.4,1089,2.21,0,7,2,122
2,3.4,1089,2.21,0,7,4,105
2,3.4,1089,2.21,0,7,6,90
2,3.4,1089,2.21,0,7,8,77
3,1,534,0.97,0,0,0.01,150
3,1,910,1.01,3.1,0,0.01,204
3,1,145.4,1.16,1.49,7.33,1,12
3,1,145.4,1.16,1.49,7.33,2,8.7
3,1,145.4,1.16,1.49,7.33,3,6.6
3,1,145.4,1.16,1.49,7.33,5,6.7
3,1,145.4,1.16,1.49,7.33,10,5.9
3,1,760.49,1.22,3.9,9.48,1,149
3,1,760.49,1.22,3.9,9.48,2,139
3,1,760.49,1.22,3.9,9.48,3,136
3,1,760.49,1.22,3.9,9.48,5,129.5
3,1,760.49,1.22,3.9,9.48,10,124
3,1,584.98,1.25,0.92,7.38,1,148
3,1,584.98,1.25,0.92,7.38,2,144
3,1,584.98,1.25,0.92,7.38,3,140
3,1,584.98,1.25,0.92,7.38,5,135.5
3,1,945.76,1.34,5.59,6.91,1,256
3,1,945.76,1.34,5.59,6.91,2,245.6
3,1,945.76,1.34,5.59,6.91,3,242
3,1,945.76,1.34,5.59,6.91,5,237
3,1,945.76,1.34,5.59,6.91,10,230
3,1,945.76,1.34,5.59,6.91,50,210
3,1,945.76,1.34,5.59,6.91,100,190
3,1,805.58,1.51,8.34,9.24,1,323
3,1,805.58,1.51,8.34,9.24,2,300
3,1,805.58,1.51,8.34,9.24,3,286.6
3,1,805.58,1.51,8.34,9.24,5,270
3,1,805.58,1.51,8.34,9.24,10,254
3,1,805.58,1.51,8.34,9.24,50,175
3,1,805.58,1.51,8.34,9.24,100,120
2,1,805.58,1.51,8.34,9.24,0.25,300
2,1,805.58,1.51,8.34,9.24,0.5,265
2,1,805.58,1.51,8.34,9.24,1,238
2,1,805.58,1.51,8.34,9.24,2,194
2,1,805.58,1.51,8.34,9.24,3,142
2,1,805.58,1.51,8.34,9.24,5,132
3,1,4073,1.121,0.55,17.88,0.5,225
3,1,4073,1.121,0.55,17.88,1,194
3,1,4073,1.121,0.55,17.88,2,185
3,1,4073,1.121,0.55,17.88,5,174.4
3,1,4073,1.121,0.55,17.88,10,159
3,1,4073,1.121,0.55,17.88,20,154
3,1,4073,1.121,0.55,17.88,50,150
3,1,1009,0.96,7.18,6.57,0.1,277
3,1,1245,1.02,5.72,6.05,0.1,292
3,1,1638,1.45,4.36,5.29,0.1,302
3,1,1009,0.96,7.18,6.57,0.2,256
3,1,1245,1.02,5.72,6.05,0.2,279
3,1,1638,1.45,4.36,5.29,0.2,281
3,1,1009,0.96,7.18,6.57,0.5,240
3,1,1245,1.02,5.72,6.05,0.5,258
3,1,1638,1.45,4.36,5.29,0.5,261
3,1,1009,0.96,7.18,6.57,1,236
3,1,1245,1.02,5.72,6.05,1,248
3,1,1638,1.45,4.36,5.29,1,254
3,1,1009,0.96,7.18,6.57,3,224
3,1,1245,1.02,5.72,6.05,3,238
3,1,1638,1.45,4.36,5.29,3,246
3,1,1009,0.96,7.18,6.57,5,219
3,1,1245,1.02,5.72,6.05,5,233
3,1,1638,1.45,4.36,5.29,5,239
3,1,1009,0.96,7.18,6.57,10,210
3,1,1245,1.02,5.72,6.05,10,223
3,1,1638,1.45,4.36,5.29,10,228
3,1,1009,0.96,7.18,6.57,20,202
3,1,1245,1.02,5.72,6.05,20,209
3,1,1638,1.45,4.36,5.29,20,217
2,3.5,1638,1.45,4.36,5.29,0.1,155
2,3.5,1638,1.45,4.36,5.29,0.2,146
2,3.5,1638,1.45,4.36,5.29,0.5,131
2,3.5,1638,1.45,4.36,5.29,1,120
2,3.5,1638,1.45,4.36,5.29,3,96
2,3.5,1638,1.45,4.36,5.29,5,82
2,3.5,1638,1.45,4.36,5.29,7,73
2,3.5,1638,1.45,4.36,5.29,10,59
3,1,1742,0.88,1,6.3,0.5,266
3,1,2033,0.99,0.8,5.6,0.5,374
3,1,2312,0.98,1.4,4.5,0.5,355
3,1,1742,0.88,1,6.3,1,239
3,1,2033,0.99,0.8,5.6,1,290
3,1,2312,0.98,1.4,4.5,1,298
3,1,1742,0.88,1,6.3,2,222
3,1,2033,0.99,0.8,5.6,2,258
3,1,2312,0.98,1.4,4.5,2,274
3,1,1742,0.88,1,6.3,5,210
3,1,2033,0.99,0.8,5.6,5,235
3,1,2312,0.98,1.4,4.5,5,253
3,1,1742,0.88,1,6.3,10,203
3,1,2033,0.99,0.8,5.6,10,227
3,1,2312,0.98,1.4,4.5,10,243
3,1,1742,0.88,1,6.3,20,202
3,1,2033,0.99,0.8,5.6,20,219
3,1,2312,0.98,1.4,4.5,20,240
3,1,1742,0.88,1,6.3,30,197
3,1,2033,0.99,0.8,5.6,30,214
3,1,2312,0.98,1.4,4.5,30,236
3,1,1742,0.88,1,6.3,40,194
3,1,2033,0.99,0.8,5.6,40,211
3,1,2312,0.98,1.4,4.5,40,233
3,1,1742,0.88,1,6.3,50,193
3,1,2033,0.99,0.8,5.6,50,207
3,1,2312,0.98,1.4,4.5,50,230
3,0.5,2312,0.98,1.4,4.5,0.5,255.5
3,0.5,2312,0.98,1.4,4.5,1,225
3,0.5,2312,0.98,1.4,4.5,2,215
3,0.5,2312,0.98,1.4,4.5,5,202
3,0.5,2312,0.98,1.4,4.5,10,195
3,0.5,2312,0.98,1.4,4.5,20,178
2,1.8,2312,0.98,1.4,4.5,0.2,45.2
3,0.8,2905.6,0.94,1.95,8.6,1,374.7
3,0.8,2905.6,0.94,1.95,8.6,2,369.7
3,0.8,2905.6,0.94,1.95,8.6,4,364.7
3,0.8,2905.6,0.94,1.95,8.6,6,360.7
3,0.8,2905.6,0.94,1.95,8.6,8,356.3
3,0.8,2905.6,0.94,1.95,8.6,10,350.4
3,0.8,2905.6,0.94,1.95,8.6,20,344.5
3,0.8,2905.6,0.94,1.95,8.6,40,333.6
3,0.8,2905.6,0.94,1.95,8.6,60,323.8
3,0.8,2905.6,0.94,1.95,8.6,80,316.5
3,0.8,2905.6,0.94,1.95,8.6,100,313.1
3,0.8,2905.6,0.94,1.95,8.6,200,283.3
3,0.8,2905.6,0.94,1.95,8.6,300,258
3,0.8,2905.6,0.94,1.95,8.6,400,243.4
3,0.8,2905.6,0.94,1.95,8.6,500,235.9
3,0.9,1591,2.51,0,4.62,0.5,303
3,0.9,1591,2.51,0,4.62,1,273
3,0.9,1591,2.51,0,4.62,2,248
3,0.9,1591,2.51,0,4.62,5,218
3,0.9,1591,2.51,0,4.62,10,201
3,0.9,1591,2.51,0,4.62,20,181
3,0.9,1591,2.51,0,4.62,40,153
